CurrentOfficial_Name,OperatorOwner_Country,Users,Orbit_Class,GEOlongitude,Perigee_km,Apogee_km,LaunchMass_kg,DryMass_kg,Power_watts,Launch_Date,ExpectedLifetime,Contractor_Country,Launch_Vehicle,GEOlatitude,Users_group,Vehicle_group,Year
1HOPSAT,USA,Commercial,LEO,0.0,566.0,576.0,22.0,,,2019-12-11,0.5,USA,PSLV,0.0,Commercial,PSLV,2019
3Cat-1,Spain,Civil,LEO,0.0,476.0,500.0,4.0,,,2018-11-29,,Spain,PSLV,0.0,Civil,PSLV,2018
Aalto-1,Finland,Civil,LEO,0.0,497.0,517.0,5.0,,4.5,2017-06-23,2.0,Finland,PSLV,0.0,Civil,PSLV,2017
AAUSat-4,Denmark,Civil,LEO,0.0,442.0,687.0,1.0,,,2016-04-25,,Denmark,Soyuz 2.1a,0.0,Civil,Soyuz,2016
ABS-2,Multinational,Commercial,GEO,75.0,,,,,,2014-02-06,15.0,USA,Ariane 5 ECA,0.0,Commercial,Ariane,2014
ABS-2A,Multinational,Commercial,GEO,-75.0,,,,,,2016-06-15,15.0,USA,Falcon 9,0.0,Commercial,Falcon,2016
ABS-3A,Multinational,Commercial,GEO,-3.0,,,,,,2015-03-02,15.0,USA,Falcon 9,0.0,Commercial,Falcon,2015
ABS-4,Multinational,Commercial,GEO,75.0,,,,,,2004-03-13,12.0,USA,Atlas 3,0.0,Commercial,Atlas,2004
ABS-6,Multinational,Commercial,GEO,159.0,,,,,,1999-09-26,15.0,USA,Proton,0.0,Commercial,Proton,1999
ABS-7,Multinational,Commercial,GEO,116.18,,,,,,1999-09-04,15.0,USA,Ariane,0.0,Commercial,Ariane,1999
USA 139,USA,Military,GEO,-26.0,,,,,,1998-05-09,,USA,Titan IVA,0.0,Military,Titan,1998
USA 171,USA,Military,GEO,95.4,,,,,,2003-09-09,,USA,Titan IV,0.0,Military,Titan,2003
USA 202,USA,Military,GEO,44.0,,,,,,2009-01-18,,USA,Delta 4 Heavy,0.0,Military,Delta,2009
USA 223,USA,Military,GEO,100.9,,,,,,2010-11-21,,USA,Delta 4 Heavy,0.0,Military,Delta,2010
USA 237,USA,Military,GEO,60.0,,,,,,2012-06-29,,USA,Delta 4 Heavy,0.0,Military,Delta,2012
USA 268,USA,Military,GEO,102.6,,,,,,2016-06-11,,USA,Delta 4 Heavy,0.0,Military,Delta,2016
